id,city_id/id,code,name
res_zone_ec_112,__export__.res_city_103,03,Cotacachi
res_zone_ec_113,__export__.res_city_104,04,Otavalo
res_zone_ec_114,__export__.res_city_105,05,Pimampiro
res_zone_ec_115,__export__.res_city_106,06,San Miguel De Urcuquí
res_zone_ec_116,__export__.res_city_107,01,Loja 
res_zone_ec_117,__export__.res_city_108,02,Calvas
res_zone_ec_118,__export__.res_city_109,03,Catamayo
res_zone_ec_119,__export__.res_city_110,04,Celica
res_zone_ec_120,__export__.res_city_111,05,Chaguarpamba
res_zone_ec_121,__export__.res_city_112,06,Espíndola
res_zone_ec_122,__export__.res_city_113,07,Gonzanamá
res_zone_ec_123,__export__.res_city_114,08,Macará
res_zone_ec_124,__export__.res_city_115,09,Paltas
res_zone_ec_125,__export__.res_city_116,10,Puyango
res_zone_ec_126,__export__.res_city_117,11,Saraguro
res_zone_ec_127,__export__.res_city_118,12,Sozoranga
res_zone_ec_128,__export__.res_city_119,13,Zapotillo
res_zone_ec_129,__export__.res_city_120,14,Pindal
res_zone_ec_130,__export__.res_city_121,15,Quilanga
res_zone_ec_131,__export__.res_city_122,16,Olmedo
res_zone_ec_132,__export__.res_city_123,01,Babahoyo
res_zone_ec_133,__export__.res_city_124,02,Baba
res_zone_ec_134,__export__.res_city_125,03,Montalvo
res_zone_ec_135,__export__.res_city_126,04,Puebloviejo
res_zone_ec_136,__export__.res_city_127,05,Quevedo
res_zone_ec_137,__export__.res_city_128,06,Urdaneta
res_zone_ec_138,__export__.res_city_129,07,Ventanas
res_zone_ec_139,__export__.res_city_130,08,Vinces
res_zone_ec_140,__export__.res_city_131,09,Palenque
res_zone_ec_141,__export__.res_city_132,10,Buena Fé
res_zone_ec_142,__export__.res_city_133,11,Valencia
res_zone_ec_143,__export__.res_city_134,12,Mocache
res_zone_ec_144,__export__.res_city_135,13,Quinsaloma
res_zone_ec_145,__export__.res_city_136,01,Portoviejo
res_zone_ec_146,__export__.res_city_137,02,Bolívar
res_zone_ec_147,__export__.res_city_138,03,Chone
res_zone_ec_148,__export__.res_city_139,04,El Carmen
res_zone_ec_149,__export__.res_city_140,05,Flavio Alfaro
res_zone_ec_150,__export__.res_city_141,06,Jipijapa
res_zone_ec_151,__export__.res_city_142,07,Junín 
res_zone_ec_152,__export__.res_city_143,08,Manta
res_zone_ec_153,__export__.res_city_144,09,Montecristi
res_zone_ec_154,__export__.res_city_145,10,Paján
res_zone_ec_155,__export__.res_city_146,11,Pichincha
res_zone_ec_156,__export__.res_city_147,12,Rocafuerte
res_zone_ec_157,__export__.res_city_148,13,Santa Ana
res_zone_ec_158,__export__.res_city_149,14,Sucre
res_zone_ec_159,__export__.res_city_150,15,Tosagua
res_zone_ec_160,__export__.res_city_151,16,24 De Mayo
res_zone_ec_161,__export__.res_city_152,17,Pedernales
res_zone_ec_162,__export__.res_city_153,18,Olmedo
res_zone_ec_163,__export__.res_city_154,19,Puerto López
res_zone_ec_164,__export__.res_city_155,20,Jama
res_zone_ec_165,__export__.res_city_156,21,Jaramijó
res_zone_ec_166,__export__.res_city_157,01,San Vicente
res_zone_ec_167,__export__.res_city_158,02,Morona
res_zone_ec_168,__export__.res_city_159,03,Gualaquiza
res_zone_ec_169,__export__.res_city_160,04,Limón Indanza
res_zone_ec_170,__export__.res_city_161,05,Palora
res_zone_ec_171,__export__.res_city_162,06,Santiago
res_zone_ec_172,__export__.res_city_163,07,Sucúa
res_zone_ec_173,__export__.res_city_164,08,Huamboya
res_zone_ec_174,__export__.res_city_165,09,San Juan Bosco
res_zone_ec_175,__export__.res_city_166,10,Taisha
res_zone_ec_176,__export__.res_city_167,11,Logroño
res_zone_ec_177,__export__.res_city_168,12,Pablo Sexto
res_zone_ec_178,__export__.res_city_169,13,Tiwintza
res_zone_ec_179,__export__.res_city_170,01,Tena
res_zone_ec_180,__export__.res_city_171,02,Archidona
res_zone_ec_181,__export__.res_city_172,03,El Chaco
res_zone_ec_182,__export__.res_city_173,04,Quijos
res_zone_ec_183,__export__.res_city_174,05,Carlos Julio Arosemena Tola
res_zone_ec_184,__export__.res_city_175,01,Pastaza
res_zone_ec_185,__export__.res_city_176,02,Mera
res_zone_ec_186,__export__.res_city_177,03,Santa Clara
res_zone_ec_187,__export__.res_city_178,04,Arajuno
res_zone_ec_188,__export__.res_city_180,01,Cayambe
res_zone_ec_189,__export__.res_city_181,02,Mejía
res_zone_ec_190,__export__.res_city_182,03,Pedro Moncayo
res_zone_ec_191,__export__.res_city_183,04,Rumiñahui
res_zone_ec_192,__export__.res_city_184,05,San Miguel De Los Bancos
res_zone_ec_193,__export__.res_city_185,06,Pedro Vicente Maldonado
res_zone_ec_194,__export__.res_city_186,07,Puerto Quito
res_zone_ec_195,__export__.res_city_187,01,Ambato
res_zone_ec_196,__export__.res_city_188,02,Baños De Agua Santa
res_zone_ec_197,__export__.res_city_189,03,Cevallos
res_zone_ec_198,__export__.res_city_190,04,Mocha
res_zone_ec_199,__export__.res_city_191,05,Patate
res_zone_ec_200,__export__.res_city_192,06,Quero
res_zone_ec_201,__export__.res_city_193,07,San Pedro De Pelileo
res_zone_ec_202,__export__.res_city_194,08,Santiago De Píllaro
res_zone_ec_203,__export__.res_city_195,09,Tisaleo
res_zone_ec_204,__export__.res_city_196,01,Zamora
res_zone_ec_205,__export__.res_city_197,02,Chinchipe
res_zone_ec_206,__export__.res_city_198,03,Nangaritza
res_zone_ec_207,__export__.res_city_199,04,Yacuambí
res_zone_ec_208,__export__.res_city_200,05,Yantzaza
res_zone_ec_209,__export__.res_city_201,06,El Pangui
res_zone_ec_210,__export__.res_city_202,07,Centinela Del Cóndor
res_zone_ec_211,__export__.res_city_203,08,Palanda
res_zone_ec_212,__export__.res_city_204,09,Paquisha
res_zone_ec_213,__export__.res_city_205,01,San Cristóbal
res_zone_ec_214,__export__.res_city_206,02,Isabela
res_zone_ec_215,__export__.res_city_207,03,Santa Cruz
res_zone_ec_216,__export__.res_city_208,01,Lago Agrio
res_zone_ec_217,__export__.res_city_209,02,Gonzalo Pizarro
res_zone_ec_218,__export__.res_city_210,03,Putumayo
res_zone_ec_219,__export__.res_city_211,04,Shushufindi
res_zone_ec_220,__export__.res_city_212,05,Sucumbíos
res_zone_ec_221,__export__.res_city_213,06,Cascales
res_zone_ec_222,__export__.res_city_214,07,Cuyabeno
res_zone_ec_223,__export__.res_city_215,01,Orellana
res_zone_ec_224,__export__.res_city_216,02,Aguarico
res_zone_ec_225,__export__.res_city_217,03,La Joya De Los Sachas
res_zone_ec_226,__export__.res_city_218,04,Loreto
res_zone_ec_227,__export__.res_city_219,01,Santo Domingo
res_zone_ec_228,__export__.res_city_220,01,Santa Elena
res_zone_ec_229,__export__.res_city_221,02,La Libertad
res_zone_ec_230,__export__.res_city_222,03,Salinas
